Player,Age,Pos,Date,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
Paul Zipser,23-347,G-F,2018-01-31 *,CHI,@,POR,L,1,20,3,5,.600,0,1,.000,3,4,.750,0,0,,1,1,2,1,0,0,1,1,9,7.0
Alex Abrines,24-191,G-F,2018-02-08 *,OKC,@,LAL,L,0,24,3,10,.300,2,4,.500,1,6,.167,1,1,1.000,0,3,3,1,1,0,0,1,8,4.4
Quincy Acy,27-036,F,2017-11-11 *,BRK,@,UTA,L,0,23,2,7,.286,1,2,.500,1,5,.200,3,4,.750,0,5,5,2,1,0,0,3,8,6.2
Quincy Acy,27-131,F,2018-02-14 *,BRK,,IND,L,1,32,2,4,.500,0,0,,2,4,.500,2,2,1.000,1,1,2,4,0,0,0,4,8,8.2
Quincy Acy,27-081,F,2017-12-26 *,BRK,@,SAS,L,0,20,3,12,.250,1,2,.500,2,10,.200,0,0,,1,9,10,0,0,0,0,4,8,2.6
Quincy Acy,27-035,F,2017-11-10 *,BRK,@,POR,W,0,25,2,5,.400,0,1,.000,2,4,.500,2,2,1.000,1,6,7,1,1,0,0,3,8,8.3
Quincy Acy,27-089,F,2018-01-03 *,BRK,,MIN,W,0,28,3,6,.500,1,1,1.000,2,5,.400,0,0,,1,0,1,3,0,0,1,3,8,5.6
Quincy Acy,27-116,F,2018-01-30 *,BRK,@,NYK,L,1,22,3,5,.600,1,2,.500,2,3,.667,0,0,,0,6,6,1,0,0,1,3,8,6.0
Quincy Acy,27-047,F,2017-11-22 *,BRK,@,CLE,L,0,19,2,7,.286,0,2,.000,2,5,.400,2,2,1.000,0,3,3,0,0,0,2,1,8,2.4
Quincy Acy,27-099,F,2018-01-13 *,BRK,@,WAS,L,1,25,2,5,.400,0,0,,2,5,.400,2,2,1.000,2,4,6,1,1,2,0,2,8,10.2
Quincy Acy,27-129,F,2018-02-12 *,BRK,,LAC,L,1,31,3,8,.375,1,1,1.000,2,7,.286,0,0,,2,3,5,5,3,1,3,3,8,8.9
Quincy Acy,27-094,F,2018-01-08 *,BRK,,TOR,L,0,34,3,8,.375,1,3,.333,2,5,.400,0,0,,1,6,7,0,2,1,4,3,8,3.6
Steven Adams,24-174,C,2018-01-10 *,OKC,@,MIN,L,1,34,2,5,.400,2,5,.400,0,0,,4,7,.571,3,5,8,0,2,0,3,3,8,5.5
Steven Adams,24-233,C,2018-03-10 *,OKC,,SAS,W,1,17,4,8,.500,4,8,.500,0,0,,0,0,,1,0,1,0,1,0,2,4,8,2.1
Bam Adebayo,20-161,C-F,2017-12-26 *,MIA,,ORL,W,0,25,3,4,.750,3,4,.750,0,0,,2,2,1.000,3,6,9,4,1,1,1,2,8,13.0
Bam Adebayo,20-193,C-F,2018-01-27 *,MIA,,CHO,W,0,26,4,6,.667,4,6,.667,0,0,,0,0,,2,10,12,0,1,1,1,1,8,10.1
Arron Afflalo,32-074,G,2017-12-28 *,ORL,,DET,W,0,14,2,4,.500,0,1,.000,2,3,.667,2,2,1.000,0,2,2,0,0,0,0,1,8,6.2
Arron Afflalo,32-132,G,2018-02-24 *,ORL,@,PHI,L,0,13,2,3,.667,0,0,,2,3,.667,2,2,1.000,0,0,0,0,0,0,0,1,8,6.3
Arron Afflalo,32-040,G,2017-11-24 *,ORL,@,BOS,L,0,20,3,6,.500,1,4,.250,2,2,1.000,0,1,.000,0,3,3,0,0,0,0,1,8,5.1
LaMarcus Aldridge,32-224,F-C,2018-02-28 *,SAS,,NOP,L,1,13,4,8,.500,4,8,.500,0,0,,0,0,,2,1,3,0,0,0,0,1,8,5.3
Jarrett Allen,19-295,F-C,2018-02-10 *,BRK,,NOP,L,1,17,4,6,.667,4,6,.667,0,0,,0,0,,3,6,9,0,0,0,0,0,8,9.3
Jarrett Allen,19-297,F-C,2018-02-12 *,BRK,,LAC,L,1,18,3,3,1.000,3,3,1.000,0,0,,2,2,1.000,3,1,4,2,1,2,0,1,8,12.9
Tony Allen,35-329,G-F,2017-12-06 *,NOP,,DEN,W,0,14,4,5,.800,4,5,.800,0,0,,0,0,,0,0,0,0,1,0,0,2,8,6.3
Al-Farouq Aminu,27-132,F,2018-01-31 *,POR,,CHI,W,1,21,3,6,.500,1,4,.250,2,2,1.000,0,0,,0,6,6,1,0,1,0,0,8,8.2
Al-Farouq Aminu,27-041,F,2017-11-01 *,POR,@,UTA,L,1,31,2,6,.333,0,2,.000,2,4,.500,2,4,.500,3,3,6,0,0,1,0,2,8,6.7
Al-Farouq Aminu,27-090,F,2017-12-20 *,POR,,SAS,L,1,35,3,11,.273,1,5,.200,2,6,.333,0,0,,0,6,6,2,4,1,0,1,8,9.0
Al-Farouq Aminu,27-123,F,2018-01-22 *,POR,@,DEN,L,1,28,2,10,.200,2,5,.400,0,5,.000,4,6,.667,1,5,6,1,0,0,0,3,8,2.7
Al-Farouq Aminu,27-033,F,2017-10-24 *,POR,,NOP,W,1,26,3,6,.500,2,4,.500,1,2,.500,1,1,1.000,2,5,7,1,1,2,2,1,8,8.6
Al-Farouq Aminu,27-143,F,2018-02-11 *,POR,,UTA,L,1,23,3,8,.375,1,3,.333,2,5,.400,0,0,,0,4,4,2,0,1,0,1,8,6.5
Justin Anderson,24-064,G,2018-01-22 *,PHI,@,MEM,L,0,17,4,7,.571,4,4,1.000,0,3,.000,0,0,,0,2,2,1,0,0,1,2,8,4.2
Justin Anderson,23-353,G,2017-11-07 *,PHI,@,UTA,W,0,13,4,5,.800,4,4,1.000,0,1,.000,0,0,,0,1,1,0,0,0,0,3,8,5.2
Justin Anderson,23-340,G,2017-10-25 *,PHI,,HOU,L,0,19,3,7,.429,1,2,.500,2,5,.400,0,0,,0,3,3,0,0,0,1,3,8,3.0
Justin Anderson,23-357,G,2017-11-11 *,PHI,@,GSW,L,0,16,3,4,.750,1,2,.500,2,2,1.000,0,0,,2,4,6,1,1,0,1,3,8,8.5
Justin Anderson,24-082,G,2018-02-09 *,PHI,,NOP,W,0,17,3,11,.273,1,6,.167,2,5,.400,0,1,.000,0,1,1,1,0,0,1,0,8,1.1
Kyle Anderson,24-039,F-G,2017-10-29 *,SAS,@,IND,L,1,24,4,7,.571,4,6,.667,0,1,.000,0,0,,5,3,8,3,1,1,2,0,8,10.9
Kyle Anderson,24-048,F-G,2017-11-07 *,SAS,,LAC,W,1,32,4,6,.667,4,6,.667,0,0,,0,1,.000,2,2,4,4,2,0,1,3,8,9.6
Kyle Anderson,24-101,F-G,2017-12-30 *,SAS,@,DET,L,0,20,4,7,.571,4,6,.667,0,1,.000,0,0,,1,6,7,2,2,0,0,2,8,9.8
Kyle Anderson,24-056,F-G,2017-11-15 *,SAS,@,MIN,L,1,25,4,7,.571,4,7,.571,0,0,,0,0,,1,4,5,0,0,1,2,2,8,4.5
Kyle Anderson,24-136,F-G,2018-02-03 *,SAS,,UTA,L,1,20,4,6,.667,4,5,.800,0,1,.000,0,0,,1,2,3,1,3,0,1,1,8,9.0
Kyle Anderson,24-164,F-G,2018-03-03 *,SAS,,LAL,L,1,22,4,4,1.000,4,4,1.000,0,0,,0,0,,1,3,4,5,2,0,1,0,8,12.9
Kyle Anderson,24-115,F-G,2018-01-13 *,SAS,,DEN,W,0,25,3,9,.333,3,6,.500,0,3,.000,2,2,1.000,2,4,6,6,1,0,1,0,8,9.7
Kyle Anderson,24-156,F-G,2018-02-23 *,SAS,@,DEN,L,1,28,3,4,.750,3,3,1.000,0,1,.000,2,4,.500,1,2,3,3,1,0,0,2,8,9.2
Kyle Anderson,24-109,F-G,2018-01-07 *,SAS,@,POR,L,1,36,2,4,.500,2,3,.667,0,1,.000,4,4,1.000,0,6,6,5,1,0,3,2,8,8.5
Ryan Anderson,29-284,F,2018-02-14 *,HOU,,SAC,W,0,21,3,9,.333,1,2,.500,2,7,.286,0,0,,1,7,8,0,0,0,1,0,8,4.7
Ryan Anderson,29-249,F,2018-01-10 *,HOU,,POR,W,1,35,3,8,.375,2,4,.500,1,4,.250,1,2,.500,3,4,7,2,0,1,0,3,8,7.4
Ryan Anderson,29-295,F,2018-02-25 *,HOU,@,DEN,W,0,20,4,6,.667,4,4,1.000,0,2,.000,0,0,,3,2,5,0,0,0,0,5,8,6.1
OG Anunoby,20-130,F,2017-11-24 *,TOR,@,IND,L,1,27,3,5,.600,3,3,1.000,0,2,.000,2,2,1.000,0,1,1,0,0,0,0,2,8,5.2
OG Anunoby,20-144,F,2017-12-08 *,TOR,@,MEM,W,1,34,3,5,.600,1,2,.500,2,3,.667,0,0,,0,0,0,0,2,0,2,3,8,4.5
OG Anunoby,20-100,F,2017-10-25 *,TOR,@,GSW,L,0,18,3,6,.500,1,2,.500,2,4,.500,0,0,,4,0,4,2,0,0,1,0,8,8.2
OG Anunoby,20-224,F,2018-02-26 *,TOR,,DET,W,1,18,3,4,.750,2,3,.667,1,1,1.000,1,1,1.000,0,1,1,2,0,0,1,0,8,7.1
OG Anunoby,20-115,F,2017-11-09 *,TOR,,NOP,W,0,14,3,4,.750,2,2,1.000,1,2,.500,1,2,.500,0,2,2,0,1,0,1,1,8,6.2
Ryan Arcidiacono,23-300,G,2018-01-20 *,CHI,@,ATL,W,0,22,2,2,1.000,0,0,,2,2,1.000,2,2,1.000,0,0,0,4,1,0,0,3,8,10.0
Ryan Arcidiacono,24-004,G,2018-03-30 *,CHI,@,ORL,W,0,15,3,4,.750,1,1,1.000,2,3,.667,0,0,,0,0,0,1,2,0,1,0,8,8.1
Trevor Ariza,32-113,F,2017-10-21 *,HOU,,DAL,W,1,31,3,7,.429,2,2,1.000,1,5,.200,1,1,1.000,0,4,4,1,4,1,1,0,8,9.9
Trevor Ariza,32-141,F,2017-11-18 *,HOU,@,MEM,W,1,29,3,7,.429,2,3,.667,1,4,.250,1,1,1.000,1,1,2,2,2,0,0,2,8,7.9
Trevor Ariza,32-267,F,2018-03-24 *,HOU,,NOP,W,1,31,3,8,.375,1,3,.333,2,5,.400,0,0,,0,5,5,2,1,0,0,3,8,6.3
Trevor Ariza,32-109,F,2017-10-17 *,HOU,@,GSW,W,1,38,3,9,.333,1,4,.250,2,5,.400,0,0,,1,5,6,5,2,0,1,2,8,8.8
Jamel Artis,25-077,G-F,2018-03-30 *,ORL,,CHI,L,0,17,2,4,.500,0,1,.000,2,3,.667,2,2,1.000,0,4,4,0,0,0,1,0,8,6.2
D.J. Augustin,30-106,G,2018-02-24 *,ORL,@,PHI,L,1,23,3,7,.429,1,3,.333,2,4,.500,0,0,,0,1,1,2,0,0,0,1,8,5.6
D.J. Augustin,30-078,G,2018-01-27 *,ORL,@,IND,L,0,20,3,4,.750,1,1,1.000,2,3,.667,0,0,,0,2,2,2,0,0,2,0,8,6.4
D.J. Augustin,30-088,G,2018-02-06 *,ORL,,CLE,W,0,25,3,8,.375,3,5,.600,0,3,.000,2,2,1.000,0,2,2,3,1,0,1,0,8,6.3
D.J. Augustin,30-029,G,2017-12-09 *,ORL,@,ATL,L,0,27,2,8,.250,1,3,.333,1,5,.200,3,3,1.000,0,2,2,7,3,0,0,1,8,11.3
Luke Babbitt,28-163,F,2017-11-30 *,ATL,,CLE,L,1,18,2,4,.500,0,0,,2,4,.500,2,2,1.000,0,0,0,2,0,0,0,2,8,6.6
Dwayne Bacon,22-049,G,2017-10-18 *,CHO,@,DET,L,1,20,3,6,.500,1,2,.500,2,4,.500,0,0,,0,2,2,2,0,0,2,1,8,4.6
Lonzo Ball,20-025,G,2017-11-21 *,LAL,,CHI,W,1,32,3,13,.231,1,5,.200,2,8,.250,0,0,,3,10,13,4,1,0,1,3,8,6.8
Lonzo Ball,20-125,G,2018-03-01 *,LAL,@,MIA,W,1,34,3,5,.600,1,2,.500,2,3,.667,0,1,.000,1,5,6,7,6,0,2,4,8,14.8
Lonzo Ball,20-152,G,2018-03-28 *,LAL,,DAL,W,1,24,3,7,.429,2,4,.500,1,3,.333,1,2,.500,3,1,4,5,0,0,1,1,8,8.4
Lonzo Ball,20-138,G,2018-03-14 *,LAL,@,GSW,L,1,39,3,11,.273,2,3,.667,1,8,.125,1,3,.333,2,4,6,11,3,1,3,4,8,10.1
Lonzo Ball,19-360,G,2017-10-22 *,LAL,,NOP,L,1,36,3,13,.231,3,8,.375,0,5,.000,2,2,1.000,1,7,8,13,1,0,5,1,8,7.6
J.J. Barea,33-165,G,2017-12-08 *,DAL,@,MIL,L,0,29,2,8,.250,2,6,.333,0,2,.000,4,6,.667,0,4,4,6,2,0,3,2,8,6.0
J.J. Barea,33-197,G,2018-01-09 *,DAL,,ORL,W,0,25,4,8,.500,4,6,.667,0,2,.000,0,0,,0,2,2,12,0,0,0,1,8,12.6
J.J. Barea,33-179,G,2017-12-22 *,DAL,@,MIA,L,0,26,3,8,.375,1,5,.200,2,3,.667,0,0,,0,3,3,8,0,0,0,3,8,8.9
Harrison Barnes,25-186,F,2017-12-02 *,DAL,,LAC,W,1,29,2,10,.200,1,9,.111,1,1,1.000,3,3,1.000,2,8,10,2,0,0,1,1,8,5.6
Harrison Barnes,25-235,F,2018-01-20 *,DAL,@,POR,L,1,35,3,13,.231,3,9,.333,0,4,.000,2,3,.667,2,8,10,1,0,1,1,3,8,2.7
Will Barton,27-007,G,2018-01-13 *,DEN,@,SAS,L,0,23,3,8,.375,2,5,.400,1,3,.333,1,1,1.000,1,3,4,4,2,0,2,1,8,7.6
Will Barton,27-066,G,2018-03-13 *,DEN,@,LAL,L,0,25,3,14,.214,3,10,.300,0,4,.000,2,2,1.000,1,3,4,3,0,0,2,2,8,0.3
Will Barton,27-013,G,2018-01-19 *,DEN,,PHO,L,0,23,3,10,.300,3,6,.500,0,4,.000,2,4,.500,0,3,3,4,1,1,2,2,8,4.0
Will Barton,27-070,G,2018-03-17 *,DEN,@,MEM,L,1,34,3,12,.250,3,10,.300,0,2,.000,2,2,1.000,3,4,7,2,2,2,4,3,8,3.7
Nicolas Batum,29-071,F-G,2018-02-23 *,CHO,@,WAS,W,1,27,3,8,.375,2,3,.667,1,5,.200,1,1,1.000,1,5,6,8,2,0,2,2,8,10.6
Jerryd Bayless,29-127,G,2017-12-25 *,PHI,@,NYK,W,0,24,2,6,.333,1,2,.500,1,4,.250,3,4,.750,0,2,2,2,0,1,0,5,8,4.9
Aron Baynes,31-057,C,2018-02-04 *,BOS,,POR,W,1,21,3,5,.600,3,5,.600,0,0,,2,2,1.000,1,7,8,0,0,2,2,2,8,7.1
Aron Baynes,31-067,C,2018-02-14 *,BOS,,LAC,L,1,15,4,8,.500,4,8,.500,0,0,,0,0,,2,3,5,2,0,3,1,5,8,6.8
Aron Baynes,30-351,C,2017-11-25 *,BOS,@,IND,W,0,24,4,5,.800,4,4,1.000,0,1,.000,0,0,,0,4,4,0,1,0,2,2,8,5.5
Kent Bazemore,28-166,G-F,2017-12-14 *,ATL,,DET,L,1,23,2,10,.200,0,4,.000,2,6,.333,2,2,1.000,1,4,5,4,0,3,2,2,8,5.8
Kent Bazemore,28-154,G-F,2017-12-02 *,ATL,@,BRK,W,1,32,3,6,.500,1,3,.333,2,3,.667,0,0,,0,4,4,0,3,1,0,0,8,9.9
Kent Bazemore,28-181,G-F,2017-12-29 *,ATL,@,TOR,L,1,29,3,9,.333,2,5,.400,1,4,.250,1,1,1.000,1,5,6,3,1,0,5,4,8,1.6
Kent Bazemore,28-123,G-F,2017-11-01 *,ATL,@,PHI,L,1,27,1,4,.250,0,1,.000,1,3,.333,5,8,.625,0,4,4,3,4,0,3,4,8,7.1
Kent Bazemore,28-137,G-F,2017-11-15 *,ATL,,SAC,W,1,23,3,6,.500,3,3,1.000,0,3,.000,2,2,1.000,0,5,5,3,0,1,1,3,8,7.1
Bradley Beal,24-153,G,2017-11-28 *,WAS,@,MIN,W,1,34,2,11,.182,2,10,.200,0,1,.000,4,6,.667,0,2,2,6,0,1,1,1,8,4.4
Bradley Beal,24-245,G,2018-02-28 *,WAS,,GSW,L,1,37,3,15,.200,1,7,.143,2,8,.250,0,0,,0,4,4,5,1,0,5,4,8,-2.2
Malik Beasley,21-016,G,2017-12-12 *,DEN,@,DET,W,0,24,4,11,.364,4,9,.444,0,2,.000,0,0,,0,4,4,0,0,0,1,3,8,0.9
Malik Beasley,21-010,G,2017-12-06 *,DEN,@,NOP,L,0,17,3,7,.429,1,3,.333,2,4,.500,0,1,.000,0,1,1,2,1,0,1,0,8,5.6
Malik Beasley,21-017,G,2017-12-13 *,DEN,@,BOS,L,0,18,3,8,.375,3,6,.500,0,2,.000,2,2,1.000,1,2,3,0,0,0,1,1,8,3.5
Michael Beasley,29-073,F,2018-03-23 *,NYK,,MIN,L,1,27,4,11,.364,4,10,.400,0,1,.000,0,0,,0,8,8,2,0,0,2,4,8,2.1
Michael Beasley,29-067,F,2018-03-17 *,NYK,,CHO,W,1,23,4,8,.500,4,8,.500,0,0,,0,0,,1,5,6,2,0,0,1,1,8,6.2
Marco Belinelli,31-254,G-F,2017-12-04 *,ATL,,BRK,L,0,19,1,7,.143,1,5,.200,0,2,.000,6,6,1.000,0,2,2,2,0,0,0,0,8,5.5
Marco Belinelli,31-316,G-F,2018-02-04 *,ATL,@,NYK,W,0,20,3,7,.429,1,3,.333,2,4,.500,0,0,,0,3,3,1,1,0,1,0,8,5.9
Marco Belinelli,31-310,G-F,2018-01-29 *,ATL,,MIN,W,0,17,2,6,.333,0,1,.000,2,5,.400,2,2,1.000,0,0,0,1,0,0,1,2,8,3.5
Marco Belinelli,31-286,G-F,2018-01-05 *,ATL,@,POR,L,0,18,3,8,.375,1,5,.200,2,3,.667,0,0,,1,0,1,0,0,0,2,1,8,1.9
Marco Belinelli,31-305,G-F,2018-01-24 *,ATL,,TOR,L,0,23,3,9,.333,3,5,.600,0,4,.000,2,2,1.000,0,1,1,1,1,0,0,1,8,4.5
Marco Belinelli,31-262,G-F,2017-12-12 *,ATL,@,CLE,L,0,20,3,10,.300,1,5,.200,2,5,.400,0,0,,0,0,0,1,1,0,1,0,8,2.9
Marco Belinelli,31-298,G-F,2018-01-17 *,ATL,,NOP,W,0,24,3,7,.429,2,2,1.000,1,5,.200,1,2,.500,2,1,3,4,1,0,0,0,8,9.4
Marco Belinelli,31-221,G-F,2017-11-01 *,ATL,@,PHI,L,0,29,2,11,.182,1,4,.250,1,7,.143,3,4,.750,1,1,2,4,0,0,0,0,8,4.5
Jordan Bell,22-296,F,2017-10-30 *,GSW,@,LAC,W,0,12,4,4,1.000,4,4,1.000,0,0,,0,0,,1,1,2,2,1,0,0,2,8,9.4
Jordan Bell,22-356,F,2017-12-29 *,GSW,,CHO,L,0,20,3,7,.429,3,6,.500,0,1,.000,2,2,1.000,1,4,5,2,2,1,1,2,8,8.5
Jordan Bell,22-341,F,2017-12-14 *,GSW,,DAL,W,1,24,4,5,.800,4,5,.800,0,0,,0,0,,1,5,6,8,2,0,2,2,8,13.1
Jordan Bell,22-352,F,2017-12-25 *,GSW,,CLE,W,1,26,4,7,.571,4,6,.667,0,1,.000,0,0,,3,4,7,3,1,0,1,2,8,9.3
Jordan Bell,22-283,F,2017-10-17 *,GSW,,HOU,L,0,12,4,5,.800,4,5,.800,0,0,,0,0,,0,1,1,1,0,0,1,4,8,4.5
DeAndre' Bembry,23-158,F,2017-12-09 *,ATL,,ORL,W,0,23,2,6,.333,1,5,.200,1,1,1.000,3,4,.750,2,0,2,6,0,1,3,1,8,7.1
DeAndre' Bembry,23-234,F,2018-02-23 *,ATL,@,IND,L,0,26,3,5,.600,2,4,.500,1,1,1.000,1,4,.250,0,6,6,1,0,1,2,2,8,4.9
DeAndre' Bembry,23-155,F,2017-12-06 *,ATL,@,ORL,L,0,27,3,6,.500,2,5,.400,1,1,1.000,1,2,.500,0,5,5,3,2,0,6,2,8,3.4
Dragan Bender,20-081,F,2018-02-06 *,PHO,@,LAL,L,1,38,2,10,.200,1,6,.167,1,4,.250,3,4,.750,3,3,6,4,0,0,2,3,8,4.0
Dragan Bender,20-033,F,2017-12-20 *,PHO,@,LAC,L,0,22,3,7,.429,1,2,.500,2,5,.400,0,0,,0,0,0,1,0,0,1,0,8,4.0
Dragan Bender,19-345,F,2017-10-28 *,PHO,@,POR,L,0,28,3,5,.600,1,1,1.000,2,4,.500,0,0,,1,6,7,0,1,2,2,1,8,8.2
Dragan Bender,19-359,F,2017-11-11 *,PHO,,MIN,W,0,19,3,8,.375,1,3,.333,2,5,.400,0,0,,0,0,0,1,0,0,0,1,8,3.9
Dragan Bender,19-349,F,2017-11-01 *,PHO,@,WAS,W,0,24,3,9,.333,2,5,.400,1,4,.250,1,1,1.000,1,4,5,0,0,1,0,0,8,5.5
Dragan Bender,19-358,F,2017-11-10 *,PHO,,ORL,L,0,19,3,4,.750,1,2,.500,2,2,1.000,0,0,,0,4,4,0,0,1,2,5,8,4.3
Dragan Bender,20-025,F,2017-12-12 *,PHO,@,SAC,L,0,21,3,7,.429,1,1,1.000,2,6,.333,0,0,,2,5,7,1,0,0,1,1,8,6.5
Davis Bertans,25-135,F,2018-03-27 *,SAS,@,WAS,L,0,19,3,9,.333,1,3,.333,2,6,.333,0,0,,0,1,1,0,1,1,0,3,8,3.7
Davis Bertans,25-027,F,2017-12-09 *,SAS,@,PHO,W,0,20,3,7,.429,1,2,.500,2,5,.400,0,0,,2,5,7,2,0,0,1,2,8,6.8
Davis Bertans,25-036,F,2017-12-18 *,SAS,,LAC,W,0,16,2,5,.400,0,0,,2,5,.400,2,3,.667,0,3,3,0,1,1,0,1,8,7.1
Davis Bertans,25-083,F,2018-02-03 *,SAS,,UTA,L,1,19,2,7,.286,0,2,.000,2,5,.400,2,3,.667,0,1,1,1,0,0,0,2,8,3.7
Davis Bertans,25-077,F,2018-01-28 *,SAS,,SAC,W,0,21,3,7,.429,1,1,1.000,2,6,.333,0,0,,0,4,4,4,0,0,0,0,8,8.3
Davis Bertans,25-039,F,2017-12-21 *,SAS,@,UTA,L,0,17,3,5,.600,1,1,1.000,2,4,.500,0,0,,0,2,2,0,0,0,0,2,8,5.5
Davis Bertans,25-056,F,2018-01-07 *,SAS,@,POR,L,0,28,3,6,.500,1,3,.333,2,3,.667,0,0,,0,4,4,4,1,0,0,3,8,8.8
Patrick Beverley,29-112,G,2017-11-01 *,LAC,,DAL,W,1,23,2,5,.400,0,0,,2,5,.400,2,2,1.000,0,1,1,3,3,0,0,2,8,9.9
Patrick Beverley,29-116,G,2017-11-05 *,LAC,,MIA,L,1,31,2,11,.182,0,7,.000,2,4,.500,2,2,1.000,2,6,8,2,2,1,1,5,8,5.4
Khem Birch,25-131,C-F,2018-02-06 *,ORL,,CLE,W,0,18,4,5,.800,4,5,.800,0,0,,0,0,,1,4,5,1,1,1,1,3,8,8.2
Bismack Biyombo,25-117,C-F,2017-12-23 *,ORL,@,WAS,L,0,24,4,4,1.000,4,4,1.000,0,0,,0,1,.000,1,2,3,1,0,0,0,1,8,8.0
Bismack Biyombo,25-155,C-F,2018-01-30 *,ORL,@,HOU,L,1,21,4,7,.571,4,7,.571,0,0,,0,0,,3,3,6,1,2,1,0,3,8,9.9
Bismack Biyombo,25-077,C-F,2017-11-13 *,ORL,@,GSW,L,0,20,4,4,1.000,4,4,1.000,0,0,,0,1,.000,1,6,7,1,0,2,2,3,8,7.8
Bismack Biyombo,25-093,C-F,2017-11-29 *,ORL,,OKC,W,0,17,4,5,.800,4,5,.800,0,0,,0,0,,1,3,4,1,0,1,3,2,8,5.3
Bismack Biyombo,25-054,C-F,2017-10-21 *,ORL,@,CLE,W,0,14,2,6,.333,2,6,.333,0,0,,4,4,1.000,4,1,5,0,0,1,1,4,8,5.8
Bismack Biyombo,25-088,C-F,2017-11-24 *,ORL,@,BOS,L,0,27,4,9,.444,4,8,.500,0,1,.000,0,0,,3,5,8,0,0,3,1,2,8,7.2
Bismack Biyombo,25-131,C-F,2018-01-06 *,ORL,,CLE,L,1,28,2,6,.333,2,6,.333,0,0,,4,4,1.000,4,7,11,2,0,1,1,3,8,9.4
Nemanja Bjelica,29-296,F,2018-03-01 *,MIN,@,POR,L,1,34,4,5,.800,4,4,1.000,0,1,.000,0,0,,1,11,12,0,1,1,1,2,8,10.0
Nemanja Bjelica,29-256,F,2018-01-20 *,MIN,,TOR,W,1,26,3,9,.333,2,7,.286,1,2,.500,1,1,1.000,2,4,6,0,2,0,1,2,8,5.7
Nemanja Bjelica,29-268,F,2018-02-01 *,MIN,,MIL,W,0,14,3,5,.600,1,1,1.000,2,4,.500,0,0,,0,4,4,2,1,1,0,1,8,9.6
Nemanja Bjelica,29-291,F,2018-02-24 *,MIN,,CHI,W,1,33,3,9,.333,2,3,.667,1,6,.167,1,2,.500,1,6,7,4,0,0,1,4,8,5.2
Tarik Black,26-079,C-F,2018-02-09 *,HOU,,DEN,W,0,16,4,4,1.000,4,4,1.000,0,0,,0,0,,1,4,5,0,1,2,2,3,8,7.9
Tarik Black,25-355,C-F,2017-11-12 *,HOU,@,IND,W,0,16,4,4,1.000,4,4,1.000,0,0,,0,0,,1,2,3,0,2,1,2,4,8,7.2
Tarik Black,26-096,C-F,2018-02-26 *,HOU,@,UTA,W,1,18,4,8,.500,4,8,.500,0,0,,0,1,.000,4,0,4,0,2,1,1,3,8,6.9
Tarik Black,26-039,C-F,2017-12-31 *,HOU,,LAL,W,0,16,4,8,.500,4,8,.500,0,0,,0,0,,4,5,9,0,0,2,0,3,8,8.5
Tarik Black,26-000,C-F,2017-11-22 *,HOU,,DEN,W,0,12,4,7,.571,4,6,.667,0,1,.000,0,0,,2,2,4,0,0,1,1,2,8,5.6
Tarik Black,25-337,C-F,2017-10-25 *,HOU,@,PHI,W,0,12,2,2,1.000,2,2,1.000,0,0,,4,5,.800,1,2,3,2,2,2,1,5,8,10.1
Antonio Blakeney,21-049,G,2017-11-22 *,CHI,@,UTA,L,0,24,3,7,.429,1,4,.250,2,3,.667,0,0,,1,1,2,0,0,0,2,0,8,3.3
Eric Bledsoe,28-020,G,2017-12-29 *,MIL,@,OKC,W,1,24,4,13,.308,4,9,.444,0,4,.000,0,2,.000,2,3,5,2,1,0,2,5,8,0.4
Eric Bledsoe,28-050,G,2018-01-28 *,MIL,@,CHI,W,1,30,3,11,.273,2,3,.667,1,8,.125,1,1,1.000,0,8,8,6,2,0,2,2,8,7.3
Bogdan Bogdanovic,25-203,G,2018-03-09 *,SAC,,ORL,W,1,27,3,12,.250,1,4,.250,2,8,.250,0,0,,1,2,3,10,1,0,2,4,8,6.5
Bogdan Bogdanovic,25-158,G,2018-01-23 *,SAC,@,ORL,W,1,33,4,12,.333,4,8,.500,0,4,.000,0,0,,0,4,4,4,0,0,5,3,8,-1.0
Bogdan Bogdanovic,25-135,G,2017-12-31 *,SAC,,MEM,L,1,28,3,7,.429,1,2,.500,2,5,.400,0,0,,1,4,5,5,0,0,3,4,8,5.1
Bogdan Bogdanovic,25-112,G,2017-12-08 *,SAC,@,NOP,W,0,25,4,9,.444,4,8,.500,0,1,.000,0,0,,0,1,1,2,4,1,3,2,8,5.9
Bojan Bogdanovic,28-201,G-F,2017-11-05 *,IND,@,NYK,L,1,29,2,7,.286,0,2,.000,2,5,.400,2,2,1.000,0,2,2,1,0,0,0,1,8,4.8
Bojan Bogdanovic,28-275,G-F,2018-01-18 *,IND,@,POR,L,1,26,3,10,.300,2,6,.333,1,4,.250,1,2,.500,1,3,4,0,0,0,0,1,8,3.0
Trevor Booker,30-112,F,2018-03-17 *,IND,@,WAS,L,0,18,3,6,.500,2,3,.667,1,3,.333,1,1,1.000,1,4,5,2,0,0,1,2,8,6.5
Trevor Booker,30-104,F,2018-03-09 *,IND,,ATL,W,0,18,3,6,.500,1,4,.250,2,2,1.000,0,0,,2,6,8,1,0,1,2,1,8,7.2
